date,arr_incidence,local_incidence
2021-04-17,0.0018,0.0
2021-04-18,0.0019,0.0
2021-04-19,0.0021,0.0
2021-04-20,0.0016,0.0
2021-04-21,0.0015,0.0
2021-04-22,0.0019,0.0
2021-04-23,0.0019,0.0
2021-04-24,0.0024,0.0
2021-04-25,0.0024,0.0
2021-04-26,0.0022,0.0
2021-04-27,0.0028,0.0
2021-04-28,0.0026,0.0
2021-04-29,0.0024,0.0
2021-04-30,0.0025,0.0001
2021-05-01,0.0021,0.0001
2021-05-02,0.0022,0.0001
2021-05-03,0.0027,0.0001
2021-05-04,0.0029,0.0001
2021-05-05,0.0033,0.0001
2021-05-06,0.0046,0.0001
2021-05-07,0.0048,0.0
2021-05-08,0.0047,0.0
2021-05-09,0.0046,0.0
2021-05-10,0.005,0.0
2021-05-11,0.0046,0.0001
2021-05-12,0.0041,0.0002
2021-05-13,0.0041,0.0002
2021-05-14,0.004,0.0004
2021-05-15,0.0042,0.0015
2021-05-16,0.0041,0.0027
2021-05-17,0.0033,0.0047
2021-05-18,0.0036,0.0061
2021-05-19,0.0045,0.0076
2021-05-20,0.0044,0.0093
2021-05-21,0.0047,0.011
2021-05-22,0.0045,0.0143
2021-05-23,0.006,0.0158
2021-05-24,0.0072,0.0173
2021-05-25,0.0073,0.0191
2021-05-26,0.0062,0.0214
2021-05-27,0.0051,0.0237
2021-05-28,0.0046,0.0251
2021-05-29,0.0059,0.0237
2021-05-30,0.005,0.0231
2021-05-31,0.0048,0.0216
2021-06-01,0.0051,0.0203
2021-06-02,0.0047,0.0198
2021-06-03,0.0043,0.0193
2021-06-04,0.0047,0.0187
2021-06-05,0.0029,0.0189
2021-06-06,0.0029,0.0187
2021-06-07,0.0027,0.0178
2021-06-08,0.0018,0.0171
2021-06-09,0.0021,0.0155
2021-06-10,0.0024,0.0135
2021-06-11,0.002,0.0125
2021-06-12,0.0022,0.011
2021-06-13,0.0025,0.0101
2021-06-14,0.0018,0.01
2021-06-15,0.0025,0.0094
2021-06-16,0.0029,0.0088
2021-06-17,0.0021,0.0083
2021-06-18,0.0022,0.0077
2021-06-19,0.0022,0.0069
2021-06-20,0.0023,0.0065
2021-06-21,0.0023,0.0059
2021-06-22,0.0018,0.0055
2021-06-23,0.0011,0.0051
2021-06-24,0.0014,0.0049
2021-06-25,0.0011,0.0042
2021-06-26,0.0012,0.0039
2021-06-27,0.001,0.0038
2021-06-28,0.0012,0.0037
2021-06-29,0.001,0.0036
2021-06-30,0.0011,0.0033
2021-07-01,,0.0028
2021-07-02,,0.0026
2021-07-03,,0.0026
2021-07-04,,0.0023
2021-07-05,,0.0021
2021-07-06,,0.002
2021-07-07,,0.0019
2021-07-08,,0.0017
2021-07-09,,0.0015
2021-07-10,,0.0013
2021-07-11,,0.0012
2021-07-12,,0.0012
2021-07-13,,0.0012
2021-07-14,,0.0011
2021-07-15,,0.001
2021-07-16,,0.001
2021-07-17,,0.0009
2021-07-18,,0.0008
